x,dist
0,0.081012
0.003331,0.082706
0.006662,0.084921
0.009993,0.087534
0.013324,0.090394
0.016655,0.09328
0.019986,0.096055
0.023317,0.098577
0.026648,0.10079
0.029979,0.10266
0.03331,0.1041
0.036641,0.10507
0.039972,0.10548
0.043303,0.10507
0.046634,0.10371
0.049965,0.10118
0.053296,0.097135
0.056627,0.091608
0.059958,0.084651
0.063289,0.076348
0.06662,0.067296
0.069951,0.058019
0.073282,0.049353
0.076613,0.042024
0.079944,0.036656
0.083275,0.034047
0.086606,0.034214
0.089937,0.037104
0.093268,0.042723
0.096599,0.050141
0.09993,0.058687
0.10326,0.067563
0.10659,0.075914
0.10992,0.083194
0.11325,0.088807
0.11659,0.09272
0.11992,0.094999
0.12325,0.09571
0.12658,0.095315
0.12991,0.094137
0.13324,0.0924
0.13657,0.090349
0.1399,0.088062
0.14323,0.085494
0.14656,0.082615
0.1499,0.079389
0.15323,0.075801
0.15656,0.072006
0.15989,0.068222
0.16322,0.064796
0.16655,0.062093
0.16988,0.060398
0.17321,0.060133
0.17654,0.061315
0.17987,0.063902
0.18321,0.067788
0.18654,0.072537
0.18987,0.077711
0.1932,0.082864
0.19653,0.087553
0.19986,0.091519
0.20319,0.094485
0.20652,0.096525
0.20985,0.09777
0.21318,0.098379
0.21652,0.098688
0.21985,0.09893
0.22318,0.099322
0.22651,0.099963
0.22984,0.10084
0.23317,0.10187
0.2365,0.10287
0.23983,0.10363
0.24316,0.10396
0.2465,0.10369
0.24983,0.10282
0.25316,0.10129
0.25649,0.099304
0.25982,0.097037
0.26315,0.094735
0.26648,0.092674
0.26981,0.091054
0.27314,0.090108
0.27647,0.089894
0.27981,0.09039
0.28314,0.091571
0.28647,0.093215
0.2898,0.095105
0.29313,0.097009
0.29646,0.098668
0.29979,0.09992
0.30312,0.10058
0.30645,0.10065
0.30978,0.10018
0.31312,0.09925
0.31645,0.098085
0.31978,0.096892
0.32311,0.095895
0.32644,0.095284
0.32977,0.095156
0.3331,0.095592
0.33643,0.096501
0.33976,0.097724
0.34309,0.09905
0.34643,0.10019
0.34976,0.10088
0.35309,0.1008
0.35642,0.099776
0.35975,0.097743
0.36308,0.094616
0.36641,0.090578
0.36974,0.085899
0.37307,0.080865
0.3764,0.075937
0.37974,0.071503
0.38307,0.068033
0.3864,0.065872
0.38973,0.065175
0.39306,0.066178
0.39639,0.068764
0.39972,0.07267
0.40305,0.07767
0.40638,0.083247
0.40971,0.088946
0.41305,0.094247
0.41638,0.098741
0.41971,0.10217
0.42304,0.10427
0.42637,0.1051
0.4297,0.10483
0.43303,0.10367
0.43636,0.10203
0.43969,0.10025
0.44303,0.098703
0.44636,0.097655
0.44969,0.097216
0.45302,0.097469
0.45635,0.098294
0.45968,0.099496
0.46301,0.10087
0.46634,0.10219
0.46967,0.10326
0.473,0.10396
0.47634,0.10425
0.47967,0.1042
0.483,0.10391
0.48633,0.10352
0.48966,0.10319
0.49299,0.103
0.49632,0.10301
0.49965,0.10321
0.50298,0.10353
0.50631,0.10388
0.50965,0.10412
0.51298,0.10416
0.51631,0.10393
0.51964,0.10343
0.52297,0.10267
0.5263,0.10173
0.52963,0.10071
0.53296,0.099695
0.53629,0.098755
0.53962,0.097939
0.54296,0.097262
0.54629,0.096713
0.54962,0.096249
0.55295,0.095834
0.55628,0.095446
0.55961,0.095075
0.56294,0.094721
0.56627,0.0944
0.5696,0.094108
0.57293,0.093841
0.57627,0.093552
0.5796,0.093164
0.58293,0.092562
0.58626,0.09162
0.58959,0.090247
0.59292,0.08833
0.59625,0.08582
0.59958,0.082806
0.60291,0.079359
0.60624,0.07567
0.60958,0.071973
0.61291,0.068548
0.61624,0.065638
0.61957,0.063408
0.6229,0.062025
0.62623,0.061541
0.62956,0.061892
0.63289,0.063002
0.63622,0.064697
0.63955,0.066751
0.64289,0.069017
0.64622,0.071266
0.64955,0.073373
0.65288,0.075225
0.65621,0.076745
0.65954,0.077912
0.66287,0.078691
0.6662,0.079068
0.66953,0.07908
0.67287,0.078706
0.6762,0.077981
0.67953,0.076963
0.68286,0.075704
0.68619,0.074335
0.68952,0.072973
0.69285,0.071781
0.69618,0.070949
0.69951,0.070584
0.70284,0.070805
0.70618,0.071692
0.70951,0.073188
0.71284,0.075242
0.71617,0.077676
0.7195,0.080314
0.72283,0.082959
0.72616,0.085414
0.72949,0.087575
0.73282,0.089359
0.73615,0.090768
0.73949,0.091899
0.74282,0.092844
0.74615,0.093755
0.74948,0.094722
0.75281,0.095821
0.75614,0.097039
0.75947,0.098288
0.7628,0.099426
0.76613,0.10025
0.76946,0.1006
0.7728,0.10031
0.77613,0.099291
0.77946,0.097632
0.78279,0.095429
0.78612,0.092946
0.78945,0.090501
0.79278,0.088416
0.79611,0.087062
0.79944,0.086601
0.80277,0.087189
0.80611,0.088851
0.80944,0.091359
0.81277,0.09448
0.8161,0.097843
0.81943,0.10105
0.82276,0.10374
0.82609,0.10555
0.82942,0.10633
0.83275,0.10606
0.83608,0.10468
0.83942,0.10243
0.84275,0.099529
0.84608,0.096267
0.84941,0.092974
0.85274,0.0899
0.85607,0.0873
0.8594,0.085272
0.86273,0.083899
0.86606,0.083242
0.86939,0.083173
0.87273,0.083635
0.87606,0.084526
0.87939,0.085724
0.88272,0.087113
0.88605,0.088644
0.88938,0.090224
0.89271,0.091827
0.89604,0.093451
0.89937,0.095068
0.90271,0.096697
0.90604,0.098313
0.90937,0.099915
0.9127,0.10146
0.91603,0.10289
0.91936,0.10414
0.92269,0.10515
0.92602,0.10581
0.92935,0.10611
0.93268,0.10603
0.93602,0.10557
0.93935,0.10483
0.94268,0.10391
0.94601,0.10297
0.94934,0.10216
0.95267,0.1016
0.956,0.10143
0.95933,0.10164
0.96266,0.1022
0.96599,0.10302
0.96933,0.10391
0.97266,0.10469
0.97599,0.10514
0.97932,0.10515
0.98265,0.10464
0.98598,0.10359
0.98931,0.10216
0.99264,0.1005
0.99597,0.098847
0.9993,0.097438
1.0026,0.096452
1.006,0.096043
1.0093,0.096185
1.0126,0.096805
1.016,0.097745
1.0193,0.09875
1.0226,0.099599
1.026,0.10004
1.0293,0.099982
1.0326,0.099373
1.0359,0.098256
1.0393,0.096847
1.0426,0.095345
1.0459,0.094046
1.0493,0.093155
1.0526,0.092842
1.0559,0.09325
1.0593,0.094291
1.0626,0.095876
1.0659,0.097847
1.0693,0.099946
1.0726,0.10197
1.0759,0.1037
1.0792,0.10504
1.0826,0.10593
1.0859,0.1063
1.0892,0.1063
1.0926,0.106
1.0959,0.10539
1.0992,0.10458
1.1026,0.10356
1.1059,0.10229
1.1092,0.1007
1.1126,0.098749
1.1159,0.096316
1.1192,0.093455
1.1226,0.090191
1.1259,0.086625
1.1292,0.083006
1.1325,0.079543
1.1359,0.076585
1.1392,0.074375
1.1425,0.073106
1.1459,0.073084
1.1492,0.074241
1.1525,0.076525
1.1559,0.079887
1.1592,0.083934
1.1625,0.088385
1.1659,0.092876
1.1692,0.097058
1.1725,0.10067
1.1758,0.10341
1.1792,0.10525
1.1825,0.10617
1.1858,0.10618
1.1892,0.10553
1.1925,0.10442
1.1958,0.10303
1.1992,0.10161
1.2025,0.1003
1.2058,0.099254
1.2092,0.098479
1.2125,0.097973
1.2158,0.097698
1.2192,0.097539
1.2225,0.097406
1.2258,0.097203
1.2291,0.096876
1.2325,0.09638
1.2358,0.095712
1.2391,0.094926
1.2425,0.094072
1.2458,0.093245
1.2491,0.092506
1.2525,0.091931
1.2558,0.091605
1.2591,0.091518
1.2625,0.091675
1.2658,0.092064
1.2691,0.092599
1.2724,0.093207
1.2758,0.09378
1.2791,0.094227
1.2824,0.094482
1.2858,0.094469
1.2891,0.094208
1.2924,0.093739
1.2958,0.093133
1.2991,0.092536
1.3024,0.092085
1.3058,0.091952
1.3091,0.092239
1.3124,0.092998
1.3158,0.094278
1.3191,0.095953
1.3224,0.09789
1.3257,0.099896
1.3291,0.10174
1.3324,0.10322
1.3357,0.10414
1.3391,0.10444
1.3424,0.10417
1.3457,0.10334
1.3491,0.10222
1.3524,0.10099
1.3557,0.099932
1.3591,0.099235
1.3624,0.099014
1.3657,0.099384
1.369,0.10023
1.3724,0.10142
1.3757,0.10276
1.379,0.10396
1.3824,0.10483
1.3857,0.10508
1.389,0.10465
1.3924,0.1035
1.3957,0.10161
1.399,0.099151
1.4024,0.096315
1.4057,0.093297
1.409,0.090346
1.4124,0.087664
1.4157,0.085468
1.419,0.083871
1.4223,0.082926
1.4257,0.082708
1.429,0.083122
1.4323,0.084052
1.4357,0.085393
1.439,0.086895
1.4423,0.088372
1.4457,0.089581
1.449,0.090345
1.4523,0.090552
1.4557,0.090073
1.459,0.088989
1.4623,0.087416
1.4656,0.085512
1.469,0.083566
1.4723,0.081809
1.4756,0.080558
1.479,0.079965
1.4823,0.080116
1.4856,0.081104
1.489,0.082798
1.4923,0.085026
1.4956,0.087625
1.499,0.090326
1.5023,0.092956
1.5056,0.095326
1.5089,0.097345
1.5123,0.098973
1.5156,0.10015
1.5189,0.10091
1.5223,0.10127
1.5256,0.10117
1.5289,0.10063
1.5323,0.099638
1.5356,0.098136
1.5389,0.096203
1.5423,0.093947
1.5456,0.091518
1.5489,0.08917
1.5523,0.087145
1.5556,0.08575
1.5589,0.085173
1.5622,0.0855
1.5656,0.086799
1.5689,0.088881
1.5722,0.091475
1.5756,0.094286
1.5789,0.096929
1.5822,0.099114
1.5856,0.10056
1.5889,0.10117
1.5922,0.101
1.5956,0.10013
1.5989,0.098771
1.6022,0.097169
1.6055,0.095493
1.6089,0.093893
1.6122,0.092396
1.6155,0.090998
1.6189,0.089605
1.6222,0.088155
1.6255,0.086561
1.6289,0.084885
1.6322,0.083216
1.6355,0.081705
1.6389,0.080586
1.6422,0.079991
1.6455,0.08008
1.6489,0.080834
1.6522,0.082117
1.6555,0.083733
1.6588,0.085341
1.6622,0.086652
1.6655,0.087373
1.6688,0.087393
1.6722,0.086767
1.6755,0.085616
1.6788,0.084305
1.6822,0.0832
1.6855,0.08269
1.6888,0.083087
1.6922,0.084454
1.6955,0.086821
1.6988,0.089938
1.7021,0.093419
1.7055,0.096857
1.7088,0.099828
1.7121,0.10208
1.7155,0.10341
1.7188,0.10386
1.7221,0.10363
1.7255,0.10299
1.7288,0.10227
1.7321,0.10172
1.7355,0.1015
1.7388,0.10162
1.7421,0.10194
1.7455,0.10223
1.7488,0.10219
1.7521,0.10162
1.7554,0.10032
1.7588,0.09833
1.7621,0.09585
1.7654,0.093136
1.7688,0.090617
1.7721,0.088635
1.7754,0.087547
1.7788,0.087542
1.7821,0.08856
1.7854,0.090501
1.7888,0.093058
1.7921,0.095857
1.7954,0.09855
1.7987,0.10082
1.8021,0.10254
1.8054,0.10362
1.8087,0.10416
1.8121,0.10437
1.8154,0.1044
1.8187,0.10446
1.8221,0.10464
1.8254,0.10496
1.8287,0.10534
1.8321,0.10563
1.8354,0.10568
1.8387,0.10533
1.8421,0.10457
1.8454,0.10341
1.8487,0.10199
1.852,0.10055
1.8554,0.099301
1.8587,0.098501
1.862,0.09825
1.8654,0.098639
1.8687,0.099584
1.872,0.10089
1.8754,0.10233
1.8787,0.10361
1.882,0.10452
1.8854,0.10487
1.8887,0.10459
1.892,0.10377
1.8953,0.10251
1.8987,0.10103
1.902,0.099589
1.9053,0.09837
1.9087,0.097573
1.912,0.097246
1.9153,0.097419
1.9187,0.098033
1.922,0.098927
1.9253,0.09997
1.9287,0.10099
1.932,0.10183
1.9353,0.10239
1.9387,0.10254
1.942,0.10229
1.9453,0.10159
1.9486,0.10047
1.952,0.099014
1.9553,0.097292
1.9586,0.09543
1.962,0.093586
1.9653,0.09192
1.9686,0.090636
1.972,0.089847
1.9753,0.089689
1.9786,0.090259
1.982,0.091489
1.9853,0.093332
1.9886,0.095624
1.9919,0.098136
1.9953,0.10064
1.9986,0.10287
2.0019,0.10464
2.0053,0.10579
2.0086,0.10616
2.0119,0.10585
2.0153,0.10482
2.0186,0.10316
2.0219,0.10103
2.0253,0.098561
2.0286,0.095894
2.0319,0.093186
2.0353,0.090559
2.0386,0.088183
2.0419,0.086164
2.0452,0.084627
2.0486,0.083731
2.0519,0.083472
2.0552,0.083899
2.0586,0.084994
2.0619,0.086576
2.0652,0.088479
2.0686,0.090458
2.0719,0.09226
2.0752,0.093678
2.0786,0.094511
2.0819,0.094775
2.0852,0.09452
2.0885,0.093918
2.0919,0.093259
2.0952,0.092806
2.0985,0.092849
2.1019,0.093493
2.1052,0.094764
2.1085,0.096533
2.1119,0.098461
2.1152,0.10018
2.1185,0.10121
2.1219,0.10125
2.1252,0.10005
2.1285,0.097485
2.1318,0.093861
2.1352,0.089504
2.1385,0.084954
2.1418,0.080787
2.1452,0.077532
2.1485,0.075716
2.1518,0.075374
2.1552,0.076535
2.1585,0.078988
2.1618,0.082163
2.1652,0.085574
2.1685,0.088615
2.1718,0.090886
2.1752,0.092107
2.1785,0.092116
2.1818,0.091179
2.1851,0.089537
2.1885,0.087611
2.1918,0.085821
2.1951,0.084498
2.1985,0.083943
2.2018,0.084127
2.2051,0.084982
2.2085,0.086348
2.2118,0.087865
2.2151,0.089293
2.2185,0.09036
2.2218,0.090953
2.2251,0.091044
2.2284,0.090664
2.2318,0.090019
2.2351,0.089269
2.2384,0.088613
2.2418,0.088178
2.2451,0.088042
2.2484,0.088243
2.2518,0.088714
2.2551,0.089384
2.2584,0.090172
2.2618,0.090978
2.2651,0.091739
2.2684,0.092389
2.2718,0.092894
2.2751,0.093196
2.2784,0.09321
2.2817,0.092872
2.2851,0.092096
2.2884,0.090748
2.2917,0.088822
2.2951,0.086315
2.2984,0.083246
2.3017,0.079841
2.3051,0.076303
2.3084,0.072944
2.3117,0.070064
2.3151,0.067909
2.3184,0.066806
2.3217,0.06676
2.325,0.067784
2.3284,0.069862
2.3317,0.072672
2.335,0.075972
2.3384,0.07948
2.3417,0.082864
2.345,0.085919
2.3484,0.088366
2.3517,0.090164
2.355,0.091265
2.3584,0.091591
2.3617,0.09128
2.365,0.090411
2.3684,0.089048
2.3717,0.087377
2.375,0.085535
2.3783,0.083701
2.3817,0.082039
2.385,0.080723
2.3883,0.079962
2.3917,0.079818
2.395,0.080343
